,kms_driven,owner,mileage,power,brand,engine,age,city,city_tier,price
5893,,2,58.0,13.0,Yamaha,150,4,Bangalore,1,69000.0
5894,14500.0,1,25.0,26.1,Royal,500,5,Bangalore,1,160000.0
5895,,1,65.0,14.85,Bajaj,150,16,Jaipur,2,42000.0
5896,26000.0,1,35.0,19.8,Royal,350,5,Kochi,2,124500.0
5897,27000.0,2,40.0,19.8,Royal,350,5,Almora,3,110000.0
5898,1800.0,1,35.0,25.1,KTM,200,5,Rewari,3,155000.0
5899,36522.0,1,35.0,19.8,Royal,350,5,Kalyan,3,110000.0
5900,43000.0,1,55.0,7.5,Hero,100,13,Indore,2,25000.0
5901,,1,35.0,24.16,Bajaj,,7,Vizianagaram,3,95000.0
5902,19000.0,1,35.0,19.8,Royal,350,5,Delhi,1,125000.0
5903,60000.0,1,65.0,,Hero,150,9,Medinipur,3,45000.0
5904,10500.0,1,32.0,27.2,Royal,500,8,Bangalore,1,130000.0
5905,12000.0,1,40.0,14.6,Suzuki,150,4,Delhi,1,70000.0
5906,7250.0,1,,16.1,TVS,,4,Howrah,3,85000.0
5907,15000.0,1,35.0,19.8,Royal,350,4,Gaya,3,150000.0
5908,11990.0,2,42.0,16.7,Yamaha,150,10,Sabarkantha,3,75000.0
5909,50000.0,1,95.0,7.4,TVS,100,6,Vasai,3,36000.0
5910,10900.0,1,40.0,17.0,Hero,223,7,Delhi,1,45000.0
5911,,1,35.0,24.5,Bajaj,,6,Delhi,1,98000.0
5912,,1,74.0,9.4,TVS,110,19,Surat,2,12000.0
5913,,1,58.0,13.0,Yamaha,150,7,Bangalore,1,65000.0
5914,26600.0,1,32.0,27.2,Royal,500,7,Ahmedabad,1,120000.0
5915,,1,65.0,14.85,Bajaj,150,14,Jaipur,2,25000.0
5916,70000.0,1,65.0,15.0,Bajaj,180,12,Ahmedabad,1,17000.0
5917,20000.0,1,5.0,8.2,Hero,100,9,Mulbagal,3,33000.0
5918,40000.0,1,35.0,24.8,UM,,5,Hyderabad,1,120000.0
5919,45987.0,1,,,Hero,135,17,Chinchwad,3,15000.0
5920,10300.0,1,40.0,19.8,Royal,350,4,Ahmedabad,1,124000.0
5921,,1,65.0,10.0,Honda,125,8,Noida,3,30000.0
5922,10000.0,1,35.0,19.8,Royal,350,8,Gurgaon,3,97000.0
5923,12000.0,1,53.0,16.8,Bajaj,,6,Moradabad,2,38900.0
5924,26000.0,2,37.0,19.8,Royal,350,31,Pune,1,98000.0
5925,10000.0,2,,29.6,KTM,250,4,Puttur,3,160000.0
5926,51000.0,1,45.0,17.0,Bajaj,180,10,Moga,3,35000.0
5927,19000.0,2,35.0,19.8,Royal,350,5,Delhi,1,110000.0
5928,,1,65.0,14.85,Bajaj,150,15,Gurgaon,3,12000.0
5929,13000.0,1,55.0,8.9,Hero,125,16,Delhi,1,12000.0
5930,23000.0,1,38.0,21.0,Bajaj,,5,Kota,3,76000.0
5931,9400.0,1,42.0,16.7,Yamaha,150,10,Delhi,1,65000.0
5932,35000.0,1,25.0,27.2,Royal,500,9,Mumbai,1,90800.0
5933,,1,42.0,23.2,Bajaj,,5,Surat,2,85000.0
5934,30000.0,3,38.0,18.28,Honda,150,8,Bhubaneshwar,3,57000.0
5935,,1,45.0,13.0,Yamaha,150,6,Bangalore,1,70000.0
5936,18600.0,1,53.0,19.0,Bajaj,,6,Meerut,2,48000.0
5937,5000.0,1,35.0,19.8,Royal,350,6,Bangalore,1,115000.0
5938,25000.0,1,42.0,16.0,Yamaha,150,5,Gurgaon,3,88000.0
